Name,Currency,Issuer,ISIN,Sector,Maturity,S&P Rating,Coupon,Coupon frequency,YTM (Ask),Ask,Minimum size,Country of issue,Amount issued,Increment size,Subordinated,EU Tax,W/Tax,Accrued days,Accrued interest
AUSTRALIA 0.5% 21.09.2026,AUD,Commonwealth of Australia,AU0000106411,Sovereign,2026-09-21,NaN,0.500,Semi-Annual,4.453,98.518,1000,Australia,39400000000,1000,No,Yes,No,51.000,0.070
AUSTRALIA 2.75% 21.11.2029,AUD,Commonwealth of Australia,AU000XCLWAX7,Sovereign,2029-11-21,NaN,2.750,Semi-Annual,4.655,93.815,1000,Australia,44500000000,1000,No,Yes,No,166.000,1.261
CZECH REPUBLIC 1% 26.06.2026,CZK,Czech Republic,CZ0001004469,Sovereign,2026-06-26,NaN,1.000,Annual,3.349,99.740,10000,Czech Republic,94236780000,10000,No,Yes,No,314.000,0.860
DOMINICAN REP 5.5% 22.02.2029,USD,Dominican Republic,USP3579ECP09,Sovereign,2029-02-22,BB,5.500,Semi-Annual,5.139,100.875,150000,Dominican Republic,1782000000,1000,No,Yes,No,73.000,1.115
DOMINICAN REP 4.875% 23.09.2032,USD,Dominican Republic,USP3579ECH82,Sovereign,2032-09-23,BB,4.880,Semi-Annual,5.750,95.375,150000,Dominican Republic,3066000000,1000,No,Yes,No,42.000,0.569
DOMINICAN REP 5.95% 25.01.2027,USD,Dominican Republic,USP3579EBV85,Sovereign,2027-01-25,BB,5.950,Semi-Annual,4.346,101.250,100000,Dominican Republic,1700000000,1000,No,Yes,No,100.000,1.653
DOMINICAN REP 4.5% 30.01.2030,USD,Dominican Republic,USP3579ECF27,Sovereign,2030-01-30,BB,4.500,Semi-Annual,5.357,97.000,150000,Dominican Republic,2000000000,1000,No,Yes,No,95.000,1.188
DOMINICAN REP 6.65% 27.12.2026,USD,Dominican Republic,XS2100776934,Sovereign,2026-12-27,NaN,6.650,Semi-Annual,5.735,100.670,1000,Dominican Republic,600000000,1000,No,Yes,No,130.000,2.375
DOMINICAN REP 8.625% 20.04.2027,USD,Dominican Republic,USP3579EAG28,Sovereign,2027-04-20,BB,8.630,Semi-Annual,4.316,104.125,100000,Dominican Republic,99999000,1000,No,Yes,No,15.000,0.359
DOMINICAN REP 7.05% 03.02.2031,USD,Dominican Republic,USP3579ECR64,Sovereign,2031-03-02,BB,7.050,Semi-Annual,5.517,106.125,150000,Dominican Republic,1200000000,1000,No,Yes,No,92.000,1.802
